description,listing_cat,listing_id,timebank,type,timestamp
I offer car wash.,"{33, 34, 35, 4}",2421,addington,offer,2019-01-22 00:01:20
Listening Ear/Chat,"{32, 3, 5, 41, 31}",2420,addington,offer,2019-01-22 00:01:20
Tutoring,"{59, 7}",2418,addington,offer,2019-01-22 00:01:20
On Line Dating,"{56, 5, 46, 7}",2415,addington,offer,2019-01-22 00:01:20
Gib board,"{9, 69, 4, 37}",2409,addington,offer,2019-01-22 00:01:20
Window cleaning,"{2, 22}",2411,addington,offer,2019-01-22 00:01:20
Pet feeding,"{9, 2, 74, 23}",2392,addington,offer,2019-01-22 00:01:20
Proof reading and Editing,"{10, 75}",2388,addington,offer,2019-01-22 00:01:20
"Advice or any IT development - Website, Iot, desktop app, mobile app ...","{70, 7, 9, 10, 76, 56}",2380,addington,offer,2019-01-22 00:01:20
"Fix electronics - don't throw away your electronics devices, why not give them a second life","{70, 7, 9, 10, 76, 56}",2379,addington,offer,2019-01-22 00:01:20
Beauty treatments,"{2, 21, 5, 46}",2361,addington,offer,2019-01-22 00:01:20
Crochet toys,"{67, 8, 11, 172, 62}",2373,addington,offer,2019-01-22 00:01:20
Wool for charity knitting,"{4, 38, 8, 11, 85, 62}",2372,addington,offer,2019-01-22 00:01:20
"Gladioli bulbs (mainly pink, cream & yellow throated)","{2, 6, 11, 172, 53, 25}",2365,addington,offer,2019-01-22 00:01:20
Clothing repairs,"{2, 173}",2364,addington,offer,2019-01-22 00:01:20
Home Handyman/Labourer,"{9, 74, 69, 71}",2363,addington,offer,2019-01-22 00:01:20
Massages,"{40, 5}",2358,addington,offer,2019-01-22 00:01:20
"Proof reading, editing, layout","{81, 10, 75, 174}",2354,addington,offer,2019-01-22 00:01:20
Ear Candles,"{5, 40, 11, 44, 83}",2303,addington,offer,2019-01-22 00:01:20
babysitting,"{2, 19}",2348,addington,offer,2019-01-22 00:01:20
Photography,"{8, 65}",2346,addington,offer,2019-01-22 00:01:20
Kombucha SCOBY's on offer,"{42, 11, 172, 5}",2317,addington,offer,2019-01-22 00:01:20
Social Media help,"{56, 7}",2304,addington,offer,2019-01-22 00:01:20
Sharing stories,"{3, 28, 29, 31}",2287,addington,offer,2019-01-22 00:01:20
Home and Recreational Kill processing services,"{2, 5, 42, 11, 83, 20}",2217,addington,offer,2019-01-22 00:01:20
"Gelato in cup, cone or as a sundae","{2, 4, 6, 175, 20, 53}",2216,addington,offer,2019-01-22 00:01:20
Media releases/getting things in the paper,"{34, 4, 36, 11, 172}",2202,addington,offer,2019-01-22 00:01:20
